2025-03-13 13:48:01.8817 | search_tool_vector:109 | INFO | ChromaDB 客户端初始化成功，dbid=1684356417232
2025-03-13 13:48:01.8838 | search_tool_vector:115 | INFO | Embedding 函数初始化成功
2025-03-13 13:48:01.8869 | search_tool_vector:123 | INFO | 集合初始化成功：yunwei_knowledge
2025-03-13 13:48:01.8879 | search_tool_vector:274 | INFO | 工具接收的关键词：车位状态
2025-03-13 13:48:02.2314 | search_tool_vector:283 | INFO | 从API获取到 18 条数据
2025-03-13 13:48:02.2314 | search_tool_vector:185 | INFO | 去掉接口文档，总计 11 个文档，42 个文本块
2025-03-13 13:48:07.6654 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_1845_chunk_1
2025-03-13 13:48:07.6675 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_1845_chunk_2
2025-03-13 13:48:25.2078 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8729_chunk_1
2025-03-13 13:48:25.2089 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8729_chunk_2
2025-03-13 13:48:25.2099 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8729_chunk_3
2025-03-13 13:48:25.2109 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8729_chunk_4
2025-03-13 13:48:25.2120 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8729_chunk_5
2025-03-13 13:48:27.5216 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_1
2025-03-13 13:48:27.5227 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_2
2025-03-13 13:48:27.5248 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_3
2025-03-13 13:48:27.5258 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_4
2025-03-13 13:48:27.5268 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_5
2025-03-13 13:48:27.5289 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_6
2025-03-13 13:48:27.5299 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_7
2025-03-13 13:48:27.5309 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_8
2025-03-13 13:48:27.5335 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_9
2025-03-13 13:48:27.5345 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_10
2025-03-13 13:48:27.5355 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_11
2025-03-13 13:48:27.5376 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_12
2025-03-13 13:48:27.5386 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_13
2025-03-13 13:48:27.5396 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_14
2025-03-13 13:48:27.5418 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_15
2025-03-13 13:48:27.5428 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_16
2025-03-13 13:48:27.5438 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_17
2025-03-13 13:48:27.5460 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8733_chunk_18
2025-03-13 13:48:29.9409 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8746_chunk_1
2025-03-13 13:48:29.9431 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8746_chunk_2
2025-03-13 13:48:33.4648 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_8747_chunk_1
2025-03-13 13:48:36.9234 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_9439_chunk_1
2025-03-13 13:48:36.9244 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_9439_chunk_2
2025-03-13 13:48:36.9254 | search_tool_vector:199 | INFO | 向量存储跳过已存在的文档块 doc_9439_chunk_3
2025-03-13 13:48:39.6024 | search_tool_vector:226 | INFO | 
成功存储 11 个文本块到向量数据库
2025-03-13 13:48:39.6024 | search_tool_vector:231 | INFO | 开始从chromadb查询关键词：车位状态
2025-03-13 13:49:20.0258 | search_tool_vector:109 | INFO | ChromaDB 客户端初始化成功，dbid=2418348803920
2025-03-13 13:49:20.0279 | search_tool_vector:115 | INFO | Embedding 函数初始化成功
2025-03-13 13:49:20.0681 | search_tool_vector:123 | INFO | 集合初始化成功：yunwei_knowledge
2025-03-13 13:49:20.0681 | search_tool_vector:274 | INFO | 工具接收的关键词：车位状态
2025-03-13 13:49:20.3650 | search_tool_vector:283 | INFO | 从API获取到 18 条数据
2025-03-13 13:49:20.3650 | search_tool_vector:185 | INFO | 去掉接口文档，总计 11 个文档，42 个文本块
2025-03-13 13:52:17.3751 | search_tool_vector:226 | INFO | 
成功存储 42 个文本块到向量数据库
2025-03-13 13:52:17.3751 | search_tool_vector:231 | INFO | 开始从chromadb查询关键词：车位状态
